0041	\u{0410}
0042	\u{0412}
0043	\u{0421}
0045	\u{0415}
0047	\u{050C}
0048	\u{041D}
0049	\u{0406}
004A	\u{0408}
004B	\u{041A}
004D	\u{041C}
004F	\u{041E}
0050	\u{0420}
0053	\u{0405}
0054	\u{0422}
0056	\u{0474}
0057	\u{051C}
0058	\u{0425}
0059	\u{0423}
0061	\u{0430}
0062	\u{044C}
0063	\u{0441}
0064	\u{0501}
0065	\u{0435}
0068	\u{04BB}
0069	\u{0456}
006A	\u{0458}
006C	\u{04CF}
006F	\u{043E}
0070	\u{0440}
0071	\u{051B}
0072	\u{0433}
0073	\u{0455}
0076	\u{0475}
0077	\u{0448}
0078	\u{0445}
0079	\u{0443}
007C	\u{04CF}
00A5	\u{04B0}
00C6	\u{04D4}
00C7	\u{04AA}
00D7	\u{0445}
00E6	\u{04D5}
00E7	\u{04AB}
00FE	\u{0440}
0127	\u{045B}
0131	\u{0456}
0138	\u{043A}
0180	\u{0463}
0182	\u{0411}
0183	\u{0431}
0184	\u{042C}
0185	\u{044C}
018F	\u{04D8}
0190	\u{0510}
0196	\u{0406}
019F	\u{0472}
01A7	\u{A644}
01A8	\u{A645}
01B7	\u{0417}
01BD	\u{0455}
01BF	\u{0440}
01C0	\u{04CF}
01DD	\u{04D9}
01F6	\u{050A}
021C	\u{0417}
021D	\u{04E1}
0245	\u{041B}
024D	\u{0493}
024E	\u{04B0}
024F	\u{04B1}
0251	\u{0430}
0259	\u{04D9}
025B	\u{0454}
025C	\u{0437}
0262	\u{050D}
0263	\u{0443}
0266	\u{A695}
0269	\u{0456}
026A	\u{0456}
026F	\u{0448}
0275	\u{0473}
0278	\u{0444}
028D	\u{043C}
028F	\u{0443}
0292	\u{04E1}
0298	\u{A669}
0299	\u{0432}
029C	\u{043D}
02C7	\u{A67E}
02D8	\u{A67E}
02DB	\u{0456}
0306	\u{A67C}
030A	\u{2DEA}
030C	\u{A67C}
0363	\u{2DF6}
0364	\u{2DF7}
0366	\u{2DEA}
0368	\u{2DED}
036E	\u{A67C}
036F	\u{2DEF}
0376	\u{0418}
0377	\u{0438}
037A	\u{0456}
037F	\u{0408}
0391	\u{0410}
0392	\u{0412}
0393	\u{0413}
0395	\u{0415}
0397	\u{041D}
0398	\u{0472}
0399	\u{0406}
039A	\u{041A}
039B	\u{041B}
039C	\u{041C}
039F	\u{041E}
03A0	\u{041F}
03A1	\u{0420}
03A4	\u{0422}
03A5	\u{0423}
03A6	\u{0424}
03A7	\u{0425}
03A8	\u{0470}
03B1	\u{0430}
03B3	\u{0443}
03B5	\u{0454}
03B8	\u{0473}
03B9	\u{0456}
03BA	\u{043A}
03BD	\u{0475}
03BF	\u{043E}
03C0	\u{043F}
03C1	\u{0440}
03C3	\u{043E}
03C4	\u{0442}
03C6	\u{0444}
03C8	\u{0471}
03C9	\u{A64D}
03D1	\u{0473}
03D2	\u{0423}
03D5	\u{0444}
03D6	\u{043F}
03E4	\u{0427}
03E5	\u{0447}
03E8	\u{A644}
03E9	\u{A645}
03EC	\u{0411}
03ED	\u{043E}
03F0	\u{043A}
03F1	\u{0440}
03F2	\u{0441}
03F3	\u{0458}
03F4	\u{0472}
03F5	\u{0454}
03F8	\u{0440}
03F9	\u{0421}
03FA	\u{041C}
054F	\u{0405}
0553	\u{0424}
0555	\u{041E}
0561	\u{0448}
0563	\u{051B}
0566	\u{051B}
0570	\u{04BB}
0582	\u{0456}
0585	\u{043E}
05AF	\u{2DEA}
05C0	\u{04CF}
05D5	\u{04CF}
05D8	\u{0475}
05DF	\u{04CF}
05E1	\u{043E}
0627	\u{04CF}
0647	\u{043E}
0652	\u{2DEA}
0658	\u{A67C}
065A	\u{A67C}
0661	\u{04CF}
0665	\u{043E}
0667	\u{0474}
0668	\u{041B}
06BE	\u{043E}
06C1	\u{043E}
06D5	\u{043E}
06DF	\u{2DEA}
06F1	\u{04CF}
06F5	\u{043E}
06F7	\u{0474}
06F8	\u{041B}
07C0	\u{041E}
07CA	\u{04CF}
0945	\u{A67C}
0966	\u{043E}
0969	\u{0417}
09E6	\u{043E}
0A66	\u{043E}
0AAA	\u{0447}
0AE6	\u{043E}
0AE9	\u{0417}
0AEB	\u{0447}
0B20	\u{041E}
0B66	\u{043E}
0B82	\u{2DEA}
0BE6	\u{043E}
0C02	\u{043E}
0C66	\u{043E}
0C82	\u{043E}
0CE6	\u{041E}
0D02	\u{043E}
0D1F	\u{0455}
0D20	\u{043E}
0D66	\u{043E}
0D82	\u{043E}
0E4D	\u{2DEA}
0E50	\u{043E}
0ECD	\u{2DEA}
0ED0	\u{043E}
1004	\u{0441}
101D	\u{043E}
1036	\u{2DEA}
1040	\u{043E}
105A	\u{0441}
10E7	\u{0443}
10F3	\u{04E1}
10FF	\u{043E}
1240	\u{0424}
12D0	\u{041E}
13A2	\u{0422}
13A5	\u{0406}
13A9	\u{0423}
13AA	\u{0410}
13AB	\u{0408}
13AC	\u{0415}
13B1	\u{0413}
13B3	\u{051C}
13B7	\u{041C}
13BB	\u{041D}
13BD	\u{0423}
13BE	\u{0472}
13C0	\u{050C}
13C2	\u{04BA}
13C7	\u{0460}
13CB	\u{0510}
13CF	\u{042C}
13D4	\u{051C}
13D5	\u{0405}
13D9	\u{0474}
13DA	\u{0405}
13DF	\u{0421}
13E2	\u{0420}
13E6	\u{041A}
13E7	\u{0500}
13EB	\u{0472}
13EE	\u{0411}
13F2	\u{A694}
13F3	\u{050C}
13F4	\u{0412}
13FB	\u{050D}
13FC	\u{0432}
142F	\u{0474}
1431	\u{041B}
146D	\u{0420}
146F	\u{0501}
1472	\u{042C}
148D	\u{0408}
14A5	\u{0413}
14BF	\u{A644}
1541	\u{0445}
157C	\u{041D}
157D	\u{0445}
15AF	\u{042C}
15C5	\u{0410}
15EF	\u{0460}
15F0	\u{041C}
15F7	\u{0412}
166D	\u{0425}
166E	\u{0445}
16B7	\u{0425}
16C1	\u{04CF}
16D5	\u{041A}
16D6	\u{041C}
16D8	\u{0470}
16F0	\u{0424}
17C6	\u{2DEA}
17D3	\u{2DEA}
17E0	\u{043E}
1ADB	\u{2DEE}
1D04	\u{0441}
1D08	\u{0437}
1D0B	\u{043A}
1D0D	\u{043C}
1D0E	\u{0438}
1D0F	\u{043E}
1D11	\u{043E}
1D19	\u{044F}
1D1B	\u{0442}
1D20	\u{0475}
1D21	\u{0448}
1D24	\u{A645}
1D26	\u{0433}
1D28	\u{043F}
1D2B	\u{043B}
1D8C	\u{0443}
1DDF	\u{2DE8}
1DEE	\u{2DEC}
1EFF	\u{0443}
1FBE	\u{0456}
20AC	\u{0404}
20AD	\u{049E}
20E9	\u{A66F}
2102	\u{0421}
2107	\u{0510}
2108	\u{042D}
210B	\u{041D}
210C	\u{041D}
210D	\u{041D}
210E	\u{04BB}
210F	\u{045B}
2110	\u{0406}
2111	\u{0406}
2113	\u{04CF}
2119	\u{0420}
212A	\u{041A}
212C	\u{0412}
212D	\u{0421}
212E	\u{0435}
212F	\u{0435}
2130	\u{0415}
2133	\u{041C}
2134	\u{043E}
2139	\u{0456}
213C	\u{043F}
213D	\u{0443}
213E	\u{0413}
213F	\u{041F}
2146	\u{0501}
2147	\u{0435}
2148	\u{0456}
2149	\u{0458}
2160	\u{04CF}
2164	\u{0474}
2169	\u{0425}
216D	\u{0421}
216F	\u{041C}
2170	\u{0456}
2174	\u{0475}
2179	\u{0445}
217C	\u{04CF}
217D	\u{0441}
217E	\u{0501}
220F	\u{041F}
221E	\u{A699}
2223	\u{04CF}
2228	\u{0475}
2295	\u{A69A}
2296	\u{0472}
2299	\u{A668}
229D	\u{0472}
22A4	\u{0422}
22C1	\u{0475}
22F4	\u{0454}
22FF	\u{0415}
236C	\u{0472}
2373	\u{0456}
2374	\u{0440}
2375	\u{A64D}
237A	\u{0430}
23FD	\u{04CF}
2573	\u{0425}
2609	\u{A668}
27D9	\u{0422}
292B	\u{0445}
292C	\u{0445}
2A00	\u{A668}
2A01	\u{A69A}
2A2F	\u{0445}
2C67	\u{04A2}
2C69	\u{049A}
2C82	\u{0412}
2C83	\u{0432}
2C84	\u{0413}
2C85	\u{0433}
2C88	\u{0404}
2C89	\u{0454}
2C8E	\u{041D}
2C8F	\u{043D}
2C90	\u{0472}
2C91	\u{0473}
2C92	\u{0406}
2C93	\u{0456}
2C94	\u{041A}
2C95	\u{043A}
2C98	\u{041C}
2C99	\u{043C}
2C9C	\u{0417}
2C9E	\u{041E}
2C9F	\u{043E}
2CA0	\u{041F}
2CA1	\u{043F}
2CA2	\u{0420}
2CA3	\u{0440}
2CA4	\u{0421}
2CA5	\u{0441}
2CA6	\u{0422}
2CA7	\u{0442}
2CA8	\u{0423}
2CA9	\u{0443}
2CAA	\u{0424}
2CAB	\u{0444}
2CAC	\u{0425}
2CAE	\u{0470}
2CAF	\u{0471}
2CB0	\u{A64C}
2CB1	\u{A64D}
2CBC	\u{0428}
2CBD	\u{0448}
2CC4	\u{0417}
2CC5	\u{04E1}
2CCC	\u{0417}
2CCD	\u{04E1}
2CCE	\u{0420}
2CCF	\u{0440}
2CD2	\u{0411}
2CD3	\u{0431}
