# Scholarly ASCII Cyrillic transliteration (the `strict_iso9` flag).
# NOTE: this is NOT the diacritic ISO 9:1995 standard (#94). translit table
# values are ASCII-only by design (enforced by build.rs), so this emits ASCII
# digraphs (ж→zh, ч→ch, ш→sh) rather than ISO 9's ž/č/š. It is a consistent,
# scholarly ASCII scheme — do not rely on it for ISO 9-conformant output.

0419	J
0439	j
042A	
044A	
042C	
044C	
0401	Jo
0451	jo
0429	Shch
0449	shch
0416	Zh
0436	zh
0425	H
0445	h
0426	C
0446	c
0427	Ch
0447	ch
0428	Sh
0448	sh
042E	Ju
044E	ju
042F	Ja
044F	ja
042D	E
044D	e
